t,3,2,66.67,weather,19/10/2021 17.45.54
o,5,0,0.0,weather,19/10/2021 17.45.54
d,5,0,0.0,weather,19/10/2021 17.45.54
a,3,0,0.0,weather,19/10/2021 17.45.54
y,5,0,0.0,weather,19/10/2021 17.45.54
i,2,0,0.0,weather,19/10/2021 17.45.54
s,2,0,0.0,weather,19/10/2021 17.45.54
c,2,0,0.0,weather,19/10/2021 17.45.54
l,2,0,0.0,weather,19/10/2021 17.45.54
u,2,0,0.0,weather,19/10/2021 17.45.54
h,1,1,100,news,19/10/2021 17.45.54
e,1,0,0,news,19/10/2021 17.45.54
l,3,0,0.0,news,19/10/2021 17.45.54
o,2,0,0.0,news,19/10/2021 17.45.54
w,1,0,0,news,19/10/2021 17.45.54
r,1,0,0,news,19/10/2021 17.45.54
d,1,0,0,news,19/10/2021 17.45.54
s,1,1,100,private ad,19/10/2021 17.45.54
o,1,0,0,private ad,19/10/2021 17.45.54
m,1,0,0,private ad,19/10/2021 17.45.54
e,2,0,0.0,private ad,19/10/2021 17.45.54
t,2,0,0.0,private ad,19/10/2021 17.45.54
x,1,0,0,private ad,19/10/2021 17.45.54
